Rydberg_B_MHz,fidelity,T_gate,tau_ratio,amp_Omega_r,amp_Delta_r
500,0.9960069043891898,0.8,0.175,76.40280017255044,143.88459073665092
600,0.9969299362352164,0.8000000000000003,0.175,77.95000026147626,144.39448602697746
700,0.9975189253728607,0.8,0.175,79.38501428489685,143.61356151049682
800,0.9979337396637986,0.8000000000000003,0.175,80.14869508357756,143.00025375262138
900,0.998224700026147,0.8,0.175,80.712708094482,142.76210155067162
1000,0.9984399381371537,0.8000000000000002,0.175,81.47884518988715,141.93624912894083
1250,0.998789954622352,0.8,0.175,82.60568412365011,141.28044335980465
1500,0.998992035615406,0.8000000000000003,0.175,83.73078468353869,141.22223390549345
1750,0.999116883726104,0.8000000000000005,0.175,83.98225546989775,141.68122828381394
2000,0.9992024108990172,0.8,0.175,85.3326402083789,139.7504333351788
2500,0.9993097760558316,0.8000000000000002,0.175,90.70182770343806,150.6112429302012
3000,0.9992943832778407,0.8000000000000002,0.175,100.47060645930046,190.73193851133544
