amp_delta_1,fidelity,T_detuning
0.5,1.0000001205133409,6.283212159939289
1.0,1.0000001204305304,3.141544349770995
1.5,1.0000001155462814,2.094433593749995
2.0,1.0000001200688198,1.5707640010863546
2.5,1.0000001155462876,1.2566406249999993
3.0,1.0000001200688222,1.0471679687499997
