Rydberg_B_MHz,fidelity,T_gate,tau_ratio,amp_Omega_r,amp_Delta_r
50,0.9735073842101408,2.024301736723472,0.11361695791226387,31.41592653589793,70.01172974205377
100,0.9942413038199507,0.8039629781773839,0.44760289620494215,34.142323716002885,62.84378609689449
200,0.9980954379915411,0.8018656357376042,0.28894925148874867,35.81334862414758,62.98746007644297
300,0.998924980436169,0.8007100190922034,0.3041009655585434,35.65583420735328,62.835608152484355
400,0.9974017828461932,0.7393280099873754,0.14455263367462606,72.23334412083278,110.32309787704021
500,0.9989330112060142,0.6465480793009448,0.1927247106541355,57.42129869315463,80.12603569073922
600,0.9987164966007611,1.1454136820682488,0.17469433188647782,47.34563062654957,62.83185307179586
700,0.9988142407425112,0.9053776981302321,0.1862855038562093,57.78370456299387,62.83204910773024
800,0.9989640151847576,0.8998651920319758,0.1838126487694864,58.71147722050251,64.69782358106417
900,0.9988630765291997,0.7787356533187744,0.17742931078752486,71.56606113536893,100.76980324988715
1000,0.9990005802853232,0.7360975448858966,0.19198228849294358,72.09296888703958,104.25200545152163
